year,province,prc,dmu,Y,P,L,K,H,oe,pe,se
2004,Yogyakarta,YO,12,16150,3249,1815,42224,7.644,0.401,0.432,0.928
2004,East Java,JI,13,240600,35724,18822,514760,6.88,0.933,1,0.933
2004,Bali,BA,14,19963,3334,1925,34635,7.766,0.567,0.627,0.904
2004,West Kalimantan,KB,15,22400,4318,1944,64060,6.632,0.438,0.516,0.847
2004,Central Kalimantan,KT,16,13120,2080,862,45184,8.593,0.356,0.507,0.702
2004,East Kalimantan,KI,17,89773,2737,1162,121946,8.766,1,1,1
2004,South Kalimantan,KS,18,20114,3188,1662,26913,7.496,0.735,0.881,0.834
2004,North Sulawesi,SA,19,14058,2999,1349,21193,8.314,0.652,0.725,0.899
2004,Central Sulawesi,ST,20,10925,2358,1037,22113,7.655,0.486,0.593,0.82
2004,South Sulawesi,SN,21,37267,8423,3787,64129,7.176,0.712,0.795,0.896
2004,Southeast Sulawesi,SG,22,7491,2032,914,14708,7.54,0.501,0.64,0.783
2004,West Nusa Tenggara,NB,23,14934,4286,1994,39237,6.218,0.419,0.593,0.706
2004,East Nusa Tenggara,NT,24,9520,4068,2048,21722,6.311,0.431,1,0.431
2004,Maluku,MA,25,5230,2099,885,14763,8.027,0.348,0.461,0.756
2004,Papua,PA,26,24760,2458,1243,45128,5.387,0.66,1,0.66
2005,Aceh,AC,1,36288,4032,1762,42516,8.612,1,1,1
2005,North Sumatra,SU,2,87898,12451,5803,140669,8.303,0.896,0.925,0.968
2005,Riau,RI,3,109669,5854,2557,262985,9.082,0.846,0.855,0.989
2005,West Sumatra,SB,4,29159,4566,1963,56887,8.156,0.642,0.655,0.981
2005,Jambi,JA,5,12620,2636,1200,24191,7.768,0.611,0.659,0.928
2005,Bengkulu,BE,6,6239,1549,806,9408,7.436,0.777,1,0.777
2005,South Sumatra,SS,7,58340,7740,3842,134935,7.38,0.633,0.747,0.848
2005,Lampung,LA,8,29397,7116,3343,58037,7.15,0.65,0.75,0.867
2005,West Java,JB,9,301042,48020,21022,554419,7.838,1,1,1
2005,Jakarta,JK,10,295271,8860,4181,1072218,10.363,1,1,1
2005,Central Java,JT,11,143051,31978,16995,286070,7.018,0.864,0.925,0.935
2005,Yogyakarta,YO,12,16911,3344,1851,44898,8.029,0.453,0.467,0.971
2005,East Java,JI,13,256375,36294,19298,532319,7.047,0.947,1,0.947
2005,Bali,BA,14,21072,3384,2027,35525,7.706,0.695,0.723,0.961
2005,West Kalimantan,KB,15,23538,4052,1993,67767,6.907,0.458,0.611,0.749
2005,Central Kalimantan,KT,16,14035,1915,933,48162,7.92,0.38,0.433,0.88
2005,East Kalimantan,KI,17,93938,2849,1231,129239,8.727,1,1,1
2005,South Kalimantan,KS,18,23173,3282,1610,27723,7.42,0.979,1,0.979
2005,North Sulawesi,SA,19,14772,2994,1387,23048,8.119,0.751,0.784,0.957
2005,Central Sulawesi,ST,20,11752,2295,1024,23237,7.613,0.593,0.679,0.872
2005,South Sulawesi,SN,21,39543,8479,3803,68089,7.149,0.762,0.881,0.865
2005,Southeast Sulawesi,SG,22,8027,1963,887,16103,8.499,0.584,0.696,0.839
2005,West Nusa Tenggara,NB,23,15195,4184,1960,41382,6.246,0.456,1,0.456
2005,East Nusa Tenggara,NT,24,9770,4260,2156,22222,6.114,0.515,1,0.515
2005,Maluku,MA,25,5496,2124,865,14206,8.372,0.453,0.547,0.828
2005,Papua,PA,26,27517,2518,1302,49730,7.34,0.698,0.906,0.77
2006,Aceh,AC,1,37159,4073,1814,45568,8.445,1,1,1
2006,North Sumatra,SU,2,93330,12643,5492,148026,8.614,0.916,0.919,0.997
2006,Riau,RI,3,115812,6101,2563,277154,8.683,0.88,0.901,0.977
2006,West Sumatra,SB,4,30950,4632,2052,59335,8.106,0.677,0.682,0.993
2006,Jambi,JA,5,13364,2683,1182,24928,7.485,0.645,0.694,0.93
2006,Bengkulu,BE,6,6611,1568,811,9496,7.291,0.819,1,0.819
2006,South Sumatra,SS,7,61225,7943,3802,140886,7.516,0.646,0.709,0.911
2006,Lampung,LA,8,30847,7212,3372,60886,7.22,0.672,0.747,0.899
2006,West Java,JB,9,318853,48677,21550,578813,7.891,1,1,1
2006,Jakarta,JK,10,312700,8963,4303,1110737,10.572,1,1,1
2006,Central Java,JT,11,150683,32179,16924,296571,7.118,0.872,0.92,0.947
2006,Yogyakarta,YO,12,17535,3389,1869,47310,8.407,0.458,0.459,0.999
2006,East Java,JI,13,271239,36592,19245,551977,7.123,0.946,1,0.946
2006,Bali,BA,14,22185,3432,1990,36404,8.157,0.731,0.734,0.995
2006,West Kalimantan,KB,15,24770,4118,2136,71450,6.823,0.473,0.579,0.817
2006,Central Kalimantan,KT,16,14854,1938,1012,51646,7.929,0.388,0.407,0.954
2006,East Kalimantan,KI,17,96585,2936,1325,137284,8.675,1,1,1
2006,South Kalimantan,KS,18,24275,3346,1633,28563,7.366,1,1,1
